,Time,Flux
11203,1945.9945814605126,'5310.297'
11204,1945.995970375401,'5318.416'
11205,1945.9973592903473,'5316.624'
11206,1945.9987482052356,'5308.1294'
11207,1946.0001371201238,'5307.276'
11208,1946.0015260350128,'5309.039'
11209,1946.0029149499599,'5330.6387'
11210,1946.004303864848,'5328.847'
11211,1946.0056927797364,'5312.1963'
11212,1946.0070816946827,'5322.2305'
11213,1946.0084706095708,'5304.9077'
11214,1946.0098595244592,'5329.578'
11215,1946.0112484394056,'5313.9795'
11216,1946.0126373542944,'5316.015'
11217,1946.0140262692416,'5315.9062'
11218,1946.0154151841298,'5315.8433'
11219,1946.0168040990761,'5321.154'
11220,1946.0181930139645,'5324.504'
11221,1946.019581928911,'5323.5234'
11222,1946.0209708437992,'5336.4336'
11223,1946.0223597587456,'5307.912'
11224,1946.0237486736928,'5318.8257'
11225,1946.0251375885816,'5320.641'
11226,1946.0265265035282,'5297.049'
11227,1946.0279154184745,'5310.686'
11228,1946.0293043333627,'5339.043'
11229,1946.030693248309,'5329.6743'
11230,1946.0320821632556,'5298.919'
11231,1946.033471078202,'5314.56'
11232,1946.0348599930908,'5323.8877'
11233,1946.036248908038,'5334.297'
11234,1946.0376378229844,'5312.7812'
11235,1946.039026737931,'5316.6553'
11236,1946.0404156528766,'5308.549'
11237,1946.0418045678225,'5323.9062'
11238,1946.0431934827689,'5304.6865'
11239,1946.044582397657,'5326.9717'
11240,1946.0459713126043,'5300.4336'
11241,1946.0473602275513,'5342.641'
11242,1946.0487491424979,'5324.1895'
11243,1946.0501380574442,'5331.737'
11244,1946.0515269723905,'5326.7944'
11245,1946.052915887395,'5313.361'
11246,1946.0543048023417,'5329.818'
11247,1946.0556937172887,'5307.184'
11248,1946.057082632236,'5319.862'
11249,1946.0584715471823,'5288.0938'
11250,1946.0598604621287,'5313.446'
11251,1946.0612493770752,'5307.597'
11252,1946.0626382920798,'5320.6484'
11253,1946.0640272070264,'5315.3345'
11254,1946.0654161219727,'5307.306'
11255,1946.06680503692,'5312.4844'
11256,1946.0681939519252,'5304.65'
11257,1946.0695828668715,'5329.5073'
11258,1946.0709717818181,'5315.2925'
11259,1946.0723606968227,'5309.8467'
11260,1946.073749611769,'5326.596'
11261,1946.0751385267156,'5302.8276'
11262,1946.0765274417201,'5314.2095'
11263,1946.0779163566672,'5304.417'
11264,1946.0793052716726,'5330.1562'
11265,1946.080694186619,'5303.3564'
11266,1946.0820831016238,'5331.437'
11267,1946.08347201657,'5327.6504'
11268,1946.084860931575,'5321.7427'
11269,1946.0862498465212,'5325.542'
11270,1946.0876387615258,'5320.0566'
11271,1946.0890276765313,'5312.613'
11272,1946.0904165914783,'5340.9185'
11273,1946.091805506483,'5304.282'
11274,1946.0931944214294,'5326.822'
11275,1946.094583336434,'5333.377'
11276,1946.0959722514385,'5322.4697'
11277,1946.0973611664433,'5321.02'
11278,1946.0987500813897,'5316.205'
11279,1946.100138996395,'5328.205'
11280,1946.1015279114004,'5311.883'
11281,1946.102916826405,'5308.1094'
11282,1946.1043057414097,'5320.4683'
11283,1946.105694656356,'5295.4004'
11284,1946.1070835713608,'5345.903'
11285,1946.1084724863654,'5314.624'
11286,1946.1098614013708,'5298.868'
11287,1946.111250316376,'5317.1177'
11288,1946.1126392313806,'5323.025'
11289,1946.1140281463854,'5310.9653'
11290,1946.11541706139,'5313.513'
11291,1946.1168059763945,'5318.669'
11292,1946.118194891399,'5345.0815'
11293,1946.1195838064039,'5313.6284'
11294,1946.1209727214086,'5317.146'
11295,1946.1223616364132,'5307.942'
11296,1946.123750551476,'5309.1514'
11297,1946.1251394664805,'5344.2427'
11298,1946.1265283814853,'5330.615'
11299,1946.12791729649,'5323.8403'
11300,1946.1293062114946,'5333.688'
11301,1946.1306951265574,'5324.4775'
11302,1946.1320840415628,'5308.911'
11303,1946.133472956568,'5328.6924'
11304,1946.1348618715726,'5322.202'
11305,1946.1362507866356,'5295.837'
11306,1946.1376397016402,'5327.5586'
11307,1946.139028616703,'5297.6016'
11308,1946.1404175317077,'5288.3887'
11309,1946.1418064467123,'5307.945'
11310,1946.1431953617757,'5309.266'
11311,1946.1445842767812,'5328.485'
11312,1946.145973191844,'5312.118'
11313,1946.1473621068487,'5307.9644'
11314,1946.1487510219115,'5316.1475'
11315,1946.1501399369163,'5320.0923'
11316,1946.151528851979,'5311.231'
11317,1946.1529177669836,'5348.425'
11318,1946.1543066820473,'5304.2466'
11319,1946.1556955971107,'5318.274'
11320,1946.1570845121155,'5327.2935'
11321,1946.1584734271783,'5335.06'
11322,1946.159862342241,'5305.3564'
11323,1946.1612512572456,'5312.7964'
11324,1946.1626401723086,'5302.435'
11325,1946.1640290873713,'5319.534'
11326,1946.1654180024348,'5313.275'
11327,1946.1668069174402,'5307.8203'
11328,1946.168195832503,'5334.8467'
11329,1946.169584747566,'5313.509'
11330,1946.1709736626287,'5317.907'
11331,1946.1723625776917,'5341.17'
11332,1946.1737514927545,'5309.8535'
11333,1946.17514040776,'5311.195'
11334,1946.1765293228234,'5319.5723'
11335,1946.1779182378862,'5328.415'
11336,1946.1793071529491,'5309.9917'
11337,1946.180696068012,'5310.072'
11338,1946.1820849830747,'5317.4204'
11339,1946.1834738981377,'5317.36'
11340,1946.1848628132004,'5304.747'
11341,1946.186251728322,'5323.949'
11342,1946.1876406433857,'5319.9175'
11343,1946.1890295584485,'5298.696'
11344,1946.1904184735113,'5321.5845'
11345,1946.1918073885743,'5324.7275'
11346,1946.1931963036373,'5302.0654'
11347,1946.1945852187582,'5327.2036'
11348,1946.195974133821,'5312.675'
11349,1946.1973630488847,'5311.6924'
11350,1946.1987519639474,'5334.789'
11351,1946.2001408790677,'5311.7305'
11352,1946.2015297941307,'5321.201'
11353,1946.2029187091935,'5311.901'
11354,1946.2043076243144,'5311.385'
11355,1946.2056965393774,'5301.012'
11356,1946.2070854544402,'5319.632'
11357,1946.2084743695618,'5322.593'
11358,1946.2098632846255,'5327.421'
11359,1946.2112521997465,'5336.681'
11360,1946.2126411148095,'5326.0493'
11361,1946.2140300299304,'5326.655'
11362,1946.2154189449934,'5324.06'
11363,1946.2168078601144,'5324.8716'
11364,1946.2181967751771,'5318.074'
11365,1946.219585690299,'5320.158'
11366,1946.2209746054207,'5309.565'
11367,1946.2223635204837,'5312.7354'
11368,1946.2237524356046,'5309.9707'
11369,1946.2251413506674,'5323.8203'
11370,1946.2265302657884,'5312.149'
11371,1946.2279191809096,'5309.933'
11372,1946.2293080960312,'5314.1206'
11373,1946.230697011095,'5309.455'
11374,1946.2320859262159,'5315.411'
11375,1946.2334748413368,'5313.6523'
11376,1946.234863756458,'5332.6743'
11377,1946.236252671579,'5311.0137'
11378,1946.237641586642,'5338.9854'
11379,1946.239030501763,'5314.37'
11380,1946.2404194168848,'5320.79'
11381,1946.2418083320065,'5320.0444'
11382,1946.2431972471275,'5310.2563'
11383,1946.2445861622487,'5310.5967'
11384,1946.2459750773696,'5318.9443'
11385,1946.2473639924906,'5312.028'
11386,1946.2487529076118,'5336.7583'
11387,1946.2501418227328,'5319.3755'
11388,1946.2515307378544,'5308.867'
11389,1946.2529196529763,'5317.6636'
11390,1946.2543085680973,'5335.859'
11391,1946.2556974832764,'5311.226'
11392,1946.2570863983976,'5331.9326'
11393,1946.2584753135188,'5306.2354'
11394,1946.2598642286398,'5330.8315'
11395,1946.2612531437608,'5318.1816'
11396,1946.2626420589409,'5313.5376'
11397,1946.2640309740625,'5320.245'
11398,1946.2654198891837,'5319.3447'
11399,1946.2668088043047,'5318.6763'
11400,1946.2681977194839,'5329.6016'
11401,1946.2695866346048,'5316.6133'
11402,1946.270975549726,'5303.6714'
11403,1946.2723644649052,'5308.9316'
11404,1946.2737533800268,'5324.0522'
11405,1946.2751422952063,'5320.0283'
11406,1946.2765312103265,'5298.1924'
11407,1946.277920125506,'5324.288'
11408,1946.279309040627,'5313.4883'
11409,1946.2806979558063,'5311.8804'
11410,1946.2820868709273,'5315.6953'
11411,1946.2834757861065,'5314.154'
11412,1946.2848647012283,'5320.0464'
11413,1946.2862536164082,'5314.697'
11414,1946.2876425315876,'5315.4795'
11415,1946.2890314467086,'5309.456'
11416,1946.2904203618878,'5330.8438'
11417,1946.291809277067,'5322.1514'
11418,1946.2931981921881,'5338.9062'
11419,1946.294587107368,'5320.5884'
11420,1946.295976022548,'5302.123'
11421,1946.297364937669,'5310.3955'
11422,1946.2987538528482,'5316.498'
11423,1946.3001427680276,'5336.158'
11424,1946.3015316832068,'5329.225'
11425,1946.3029205983862,'5302.9478'
11426,1946.3043095135654,'5326.4575'
11427,1946.3056984286873,'5322.912'
11428,1946.3070873438671,'5303.681'
11429,1946.3084762590463,'5344.2886'
11430,1946.3098651742257,'5319.87'
11431,1946.3112540894049,'5311.992'
11432,1946.312643004584,'5314.975'
11433,1946.3140319197635,'5313.2266'
11434,1946.3154208349426,'5336.4185'
11435,1946.3168097501225,'5320.82'
11436,1946.3181986653026,'5322.0464'
11437,1946.31958758054,'5315.601'
11438,1946.3209764957194,'5297.5767'
11439,1946.3223654108986,'5311.0015'
11440,1946.323754326078,'5315.217'
11441,1946.3251432412571,'5326.5376'
11442,1946.3265321564363,'5309.8354'
11443,1946.3279210716746,'5339.2'
11444,1946.3293099868545,'5325.892'
11445,1946.3306989020339,'5324.0903'
11446,1946.332087817213,'5328.8374'
11447,1946.3334767324504,'5288.2485'
11448,1946.3348656476296,'5324.1973'
11449,1946.336254562809,'5313.535'
11450,1946.3376434780464,'5321.3853'
11451,1946.3390323932263,'5325.035'
11452,1946.3404213084646,'5333.6177'
11453,1946.3418102236437,'5321.403'
11454,1946.3431991388813,'5319.136'
11455,1946.3445880540605,'5301.4004'
11456,1946.3459769692981,'5335.373'
11457,1946.3473658844773,'5321.8584'
11458,1946.3487547997156,'5308.8374'
11459,1946.3501437148948,'5285.918'
11460,1946.3515326301315,'5306.043'
11461,1946.352921545311,'5324.2056'
11462,1946.3543104605483,'5312.9927'
11463,1946.3556993757857,'5310.104'
11464,1946.3570882909648,'5304.303'
11465,1946.3584772062025,'5329.495'
11466,1946.3598661214405,'5337.982'
11467,1946.3612550366206,'5305.966'
11468,1946.362643951858,'5325.1777'
11469,1946.3640328670954,'5338.646'
11470,1946.365421782333,'5312.302'
11471,1946.3668106975706,'5309.014'
11472,1946.3681996127498,'5314.2114'
11473,1946.3695885279872,'5305.554'
11474,1946.3709774432255,'5327.9517'
11475,1946.3723663584635,'5304.432'
11476,1946.373755273701,'5321.9'
11477,1946.3751441889385,'5306.3936'
11478,1946.376533104176,'5308.9355'
11479,1946.3779220194133,'5327.932'
11480,1946.379310934651,'5319.5903'
11481,1946.3806998498883,'5322.816'
11482,1946.3820887651264,'5308.32'
11483,1946.3834776803646,'5325.0146'
11484,1946.384866595602,'5344.4775'
11485,1946.3862555108396,'5330.0664'
11486,1946.387644426077,'5308.3013'
11487,1946.3890333413146,'5302.9253'
11488,1946.3904222566102,'5304.8667'
11489,1946.3918111718476,'5315.097'
11490,1946.393200087086,'5310.48'
11491,1946.394589002324,'5301.129'
11492,1946.3959779176198,'5336.8374'
11493,1946.3973668328572,'5315.4365'
11494,1946.3987557480946,'5325.783'
11495,1946.400144663332,'5324.34'
11496,1946.4015335786278,'5314.9785'
11497,1946.4029224938654,'5333.6973'
11498,1946.4043114091035,'5337.8013'
11499,1946.4057003243997,'5301.31'
11500,1946.4070892396371,'5296.709'
11501,1946.408478154933,'5318.9385'
11502,1946.4098670701703,'5306.271'
11503,1946.4112559854661,'5308.716'
11504,1946.414033816,'5306.915'
11505,1946.415422731238,'5330.6523'
11506,1946.4168116465337,'5310.272'
11507,1946.4182005617713,'5292.244'
11508,1946.419589477067,'5327.8013'
11509,1946.4209783923625,'5298.577'
11510,1946.4223673075994,'5323.0596'
11511,1946.4237562228943,'5323.4775'
11512,1946.4251451381906,'5317.9775'
11513,1946.426534053429,'5308.2476'
11514,1946.4279229687245,'5321.905'
11515,1946.42931188402,'5345.9897'
11516,1946.430700799316,'5312.8403'
11517,1946.4320897146117,'5297.2915'
11518,1946.433478629849,'5314.995'
11519,1946.4348675451447,'5314.607'
11520,1946.4362564604412,'5322.2793'
11521,1946.4376453757375,'5296.05'
11522,1946.439034291033,'5322.651'
11523,1946.440423206329,'5304.586'
11524,1946.4418121216245,'5307.7163'
11525,1946.44320103692,'5318.0645'
11526,1946.444589952216,'5333.0176'
11527,1946.4459788675115,'5341.396'
11528,1946.4473677828078,'5336.197'
11529,1946.4487566981043,'5323.7583'
11530,1946.4501456133999,'5291.7925'
11531,1946.4515345286957,'5311.2207'
11532,1946.4529234439913,'5310.443'
11533,1946.454312359287,'5313.5273'
11534,1946.4557012745827,'5313.72'
11535,1946.4570901899365,'5306.862'
11536,1946.458479105233,'5326.286'
11537,1946.4598680205293,'5333.0083'
11538,1946.461256935825,'5302.681'
11539,1946.4626458511207,'5332.0215'
11540,1946.4640347664745,'5317.32'
11541,1946.46542368177,'5325.0386'
11542,1946.4668125970659,'5334.0034'
11543,1946.4682015124204,'5318.586'
11544,1946.4695904277169,'5311.661'
11545,1946.4709793430125,'5333.129'
11546,1946.4723682583663,'5296.175'
11547,1946.473757173662,'5318.5513'
11548,1946.4751460890159,'5320.056'
11549,1946.4765350043117,'5313.7793'
11550,1946.4779239196655,'5316.5044'
11551,1946.479312834962,'5308.878'
11552,1946.4807017503165,'5324.536'
11553,1946.482090665612,'5325.1587'
11554,1946.483479580966,'5346.4224'
11555,1946.48486849632,'5315.137'
11556,1946.4862574116155,'5327.452'
11557,1946.4876463269695,'5308.0654'
11558,1946.4890352422651,'5314.2095'
11559,1946.4904241576196,'5312.0264'
11560,1946.4918130729743,'5325.4272'
11561,1946.4932019883274,'5309.249'
11562,1946.4945909036223,'5323.3877'
11563,1946.4959798189764,'5321.7734'
11564,1946.4973687343304,'5330.123'
11565,1946.4987576496842,'5323.6494'
11566,1946.5001465649798,'5305.449'
11567,1946.5015354803345,'5318.4043'
11568,1946.502924395689,'5310.5312'
11569,1946.504313311043,'5295.1978'
11570,1946.5057022263968,'5315.7827'
11571,1946.5070911417506,'5299.9336'
11572,1946.5084800571044,'5295.6475'
11573,1946.5098689724584,'5306.1953'
11574,1946.5112578878122,'5320.0605'
11575,1946.5126468031667,'5307.584'
